['2016-05-23 03:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '17', '72', u'SSW', '8']
['2016-05-23 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '16', '72', u'S', '11']
['2016-05-23 01:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '17', '69', u'SE', '16']
['2016-05-23 00:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '17', '67', u'SE', '16']
['2016-05-22 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '66', u'SE', '21']
['2016-05-22 22:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '19', '61', u'ESE', '24']
['2016-05-22 21:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '58', u'SE', '21']
['2016-05-22 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '53', u'SE', '18']
['2016-05-22 19:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '51', u'SE', '19']
['2016-05-22 17:45:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '47', u'SSE', '21']
['2016-05-22 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '47', u'SE', '26']
['2016-05-22 16:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '45', u'SE', '23']
['2016-05-22 15:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '43', u'SE', '26']
['2016-05-22 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '44', u'SE', '24']
['2016-05-22 13:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '23', '48', u'SE', '23']
['2016-05-22 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '51', u'SSE', '18']
['2016-05-22 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '56', u'SSE', '18']
['2016-05-22 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '62', u'SSE', '14']
['2016-05-22 09:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '17', '67', u'SSE', '14']
['2016-05-22 08:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '16', '74', u'SSE', '14']
['2016-05-22 07:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '14', '82', u'SSE', '10']
['2016-05-22 06:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '14', '85', u'SSE', '8']
['2016-05-22 05:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '13', '87', u'SSE', '14']
['2016-05-22 04:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '14', '83', u'SSE', '11']
['2016-05-22 03:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '14', '76', u'SE', '14']
['2016-05-22 02:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '14', '75', u'ESE', '19']
['2016-05-22 01:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '14', '75', u'SE', '14']
['2016-05-22 00:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '15', '74', u'SE', '14']
['2016-05-21 23:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '14', '78', u'SE', '11']
['2016-05-21 22:05:00', 0, 'images/weathericons/icon27.png', u'Mostly Cloudy', '15', '76', u'SSE', '10']
